2018-02-12 01:28:13,990 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:29:16,003 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:33:56,878 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:36:01,627 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:47:41,260 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:48:30,266 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:48:55,809 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:55:01,651 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:55:05,968 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:55:10,271 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 01:55:59,209 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:03:50,728 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:03:55,067 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:03:59,396 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:04:03,727 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:08:17,662 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:08:21,962 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:12:35,192 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:12:39,450 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:14:43,867 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:14:48,105 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:19:01,548 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 02:31:42,037 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 03:08:34,809 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 03:21:03,666 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 06:02:35,611 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 10:55:41,279 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:02:53,235 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:06:04,273 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:16:13,426 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:19:05,410 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:22:13,375 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:41:41,394 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.13'.
2018-02-12 11:41:44,454 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:45:34,678 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:47:45,922 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
2018-02-12 11:49:39,009 | app | WARNING | [WARNING] High temperatures on miner '192.168.10.17'.
